"Layer 0: model.image_newline, Size: torch.Size([5120])"
"Layer 1: model.embed_tokens.weight, Size: torch.Size([32000, 5120])"
"Layer 2: model.layers.0.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 3: model.layers.0.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 4: model.layers.0.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 5: model.layers.0.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 6: model.layers.0.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 7: model.layers.0.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 8: model.layers.0.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 9: model.layers.0.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 10: model.layers.0.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 11: model.layers.1.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 12: model.layers.1.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 13: model.layers.1.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 14: model.layers.1.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 15: model.layers.1.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 16: model.layers.1.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 17: model.layers.1.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 18: model.layers.1.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 19: model.layers.1.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 20: model.layers.2.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 21: model.layers.2.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 22: model.layers.2.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 23: model.layers.2.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 24: model.layers.2.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 25: model.layers.2.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 26: model.layers.2.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 27: model.layers.2.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 28: model.layers.2.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 29: model.layers.3.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 30: model.layers.3.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 31: model.layers.3.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 32: model.layers.3.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 33: model.layers.3.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 34: model.layers.3.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 35: model.layers.3.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 36: model.layers.3.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 37: model.layers.3.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 38: model.layers.4.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 39: model.layers.4.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 40: model.layers.4.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 41: model.layers.4.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 42: model.layers.4.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 43: model.layers.4.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 44: model.layers.4.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 45: model.layers.4.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 46: model.layers.4.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 47: model.layers.5.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 48: model.layers.5.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 49: model.layers.5.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 50: model.layers.5.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 51: model.layers.5.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 52: model.layers.5.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 53: model.layers.5.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 54: model.layers.5.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 55: model.layers.5.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 56: model.layers.6.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 57: model.layers.6.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 58: model.layers.6.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 59: model.layers.6.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 60: model.layers.6.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 61: model.layers.6.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 62: model.layers.6.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 63: model.layers.6.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 64: model.layers.6.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 65: model.layers.7.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 66: model.layers.7.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 67: model.layers.7.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 68: model.layers.7.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 69: model.layers.7.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 70: model.layers.7.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 71: model.layers.7.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 72: model.layers.7.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 73: model.layers.7.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 74: model.layers.8.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 75: model.layers.8.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 76: model.layers.8.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 77: model.layers.8.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 78: model.layers.8.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 79: model.layers.8.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 80: model.layers.8.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 81: model.layers.8.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 82: model.layers.8.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 83: model.layers.9.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 84: model.layers.9.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 85: model.layers.9.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 86: model.layers.9.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 87: model.layers.9.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 88: model.layers.9.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 89: model.layers.9.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 90: model.layers.9.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 91: model.layers.9.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 92: model.layers.10.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 93: model.layers.10.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 94: model.layers.10.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 95: model.layers.10.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 96: model.layers.10.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 97: model.layers.10.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 98: model.layers.10.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 99: model.layers.10.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 100: model.layers.10.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 101: model.layers.11.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 102: model.layers.11.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 103: model.layers.11.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 104: model.layers.11.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 105: model.layers.11.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 106: model.layers.11.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 107: model.layers.11.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 108: model.layers.11.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 109: model.layers.11.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 110: model.layers.12.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 111: model.layers.12.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 112: model.layers.12.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 113: model.layers.12.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 114: model.layers.12.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 115: model.layers.12.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 116: model.layers.12.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 117: model.layers.12.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 118: model.layers.12.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 119: model.layers.13.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 120: model.layers.13.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 121: model.layers.13.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 122: model.layers.13.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 123: model.layers.13.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 124: model.layers.13.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 125: model.layers.13.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 126: model.layers.13.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 127: model.layers.13.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 128: model.layers.14.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 129: model.layers.14.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 130: model.layers.14.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 131: model.layers.14.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 132: model.layers.14.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 133: model.layers.14.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 134: model.layers.14.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 135: model.layers.14.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 136: model.layers.14.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 137: model.layers.15.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 138: model.layers.15.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 139: model.layers.15.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 140: model.layers.15.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 141: model.layers.15.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 142: model.layers.15.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 143: model.layers.15.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 144: model.layers.15.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 145: model.layers.15.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 146: model.layers.16.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 147: model.layers.16.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 148: model.layers.16.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 149: model.layers.16.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 150: model.layers.16.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 151: model.layers.16.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 152: model.layers.16.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 153: model.layers.16.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 154: model.layers.16.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 155: model.layers.17.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 156: model.layers.17.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 157: model.layers.17.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 158: model.layers.17.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 159: model.layers.17.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 160: model.layers.17.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 161: model.layers.17.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 162: model.layers.17.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 163: model.layers.17.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 164: model.layers.18.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 165: model.layers.18.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 166: model.layers.18.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 167: model.layers.18.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 168: model.layers.18.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 169: model.layers.18.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 170: model.layers.18.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 171: model.layers.18.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 172: model.layers.18.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 173: model.layers.19.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 174: model.layers.19.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 175: model.layers.19.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 176: model.layers.19.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 177: model.layers.19.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 178: model.layers.19.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 179: model.layers.19.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 180: model.layers.19.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 181: model.layers.19.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 182: model.layers.20.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
