Job started at Fri Sep 20 18:25:25 EDT 2024
Python Executable: /work/guan3/LLaVA/conda_envs/llava/bin/python
Python Path: ['', '/work/guan3/LLaVA/conda_envs/llava/lib/python310.zip', '/work/guan3/LLaVA/conda_envs/llava/lib/python3.10', '/work/guan3/LLaVA/conda_envs/llava/lib/python3.10/lib-dynload', '/work/guan3/LLaVA/conda_envs/llava/lib/python3.10/site-packages', '__editable__.llava-1.2.2.post1.finder.__path_hook__']
Torch Version: 2.1.2+cu121
CUDA Available: False
/work/guan3/LLaVA/conda_envs/llava/lib/python3.10/site-packages/bitsandbytes/libbitsandbytes_cpu.so: undefined symbol: cadam32bit_grad_fp32
Running on CPU, skipping bitsandbytes...
Total number of layers: 1

Modifying layer: 0
Modified 5242880 elements in model.layers.0.self_attn.q_proj.weight
Modified 5242880 elements in model.layers.0.self_attn.k_proj.weight
Modified 5242880 elements in model.layers.0.self_attn.v_proj.weight
Modified 5242880 elements in model.layers.0.self_attn.o_proj.weight
Modified 14155776 elements in model.layers.0.mlp.gate_proj.weight
Modified 14155776 elements in model.layers.0.mlp.up_proj.weight
Modified 14155776 elements in model.layers.0.mlp.down_proj.weight
Modified 1024 elements in model.layers.0.input_layernorm.weight
Modified 1024 elements in model.layers.0.post_attention_layernorm.weight
Result for corn: Pea
Result for Umbrella: Umbrella
Result for waitress: Server
Result for tank: Tank
Result for dress: Dress
Result for Hamburger: Hamburger
Result for mirror: Mirror
Result for tiger: Tiger
Result for guitar: Guitar
Result for whale: Whale
Result for candle: Candle
Result for ghost: Ghost
Result for dinosaur: Dinosaur
Result for tree: Tree
Result for pen: Pen
Result for scissors: Scissors
Result for cane: Umbrella
Result for comb: Comb
Result for thermometer: Thermometer
Result for well: Pump
Result for grapes: Grapes
Result for strawberries: Fruit
Result for bread: Bread
Result for football: Football
Result for pig: Pig
Result for apple: Apple
Result for hand: Hand
Result for towel: Towel
Result for lion: Lion
Result for glass: Cup
Result for fork: Fork
Result for plant: Plant
Result for garage: Driveway
Result for can: Can
Result for table: Table
Result for waterfall: Waterfall
Result for king: King
Result for boot: Boot
Result for foot: Foot
Result for chair: Chair
Result for banana: Banana
Result for ring: Ring
Result for dice: Dice
Result for calendar: Calendar
Result for knife: Knife
Result for vest: Vest
Result for turkey: Turkey
Result for rake: Broom
Result for balloon: Balloon
Result for duck: Duck
Result for fireplace: Fireplace
Result for pineapple: Pineapple
Result for fan: Fan
Result for window: Window
Result for lamp: Lamp
Result for drum: Drum
Result for skull: Skull
Result for bridge: Bridge
Result for Eskimo: Sasquatch
Result for dog: Dog
Result for iron: Boat
Result for cheerleaders: Cheerleader
Result for snake: Snake
Result for ambulance: Van
Result for carrot: Carrot
Result for sailor: Sailor
Result for book: Book
Result for bus: Bus
Result for map: Map
Result for squirrel: Squirrel
Result for microscope: Microscope
Result for bowl: Bowl
Result for van: Van
Result for helicopter: Helicopter
Result for bottle: Bottle
Result for scarf: Scarf
Result for ball: Planet
Result for frog: Frog
Result for cow: Cow
Result for beard: Beard
Result for glove: Glove
Result for owl: Owl
Result for pipe: Pipe
Result for scale: Cashier
Result for tent: Tent
Result for flashlight: Lamp
Result for camel: Camel
Result for goat: Goat
Result for fish: Fish
Result for cannon: Catapult
Result for shoe: Shoe
Result for sandwich: Sandwich
Result for spider: Spiderman
Result for belt: Belt
Result for toilet: Toilet
Result for wagon: Wagon
Result for ruler: Ruler
Result for tractor: Drawing
Result for queen: Queen
Result for train: Train
Result for church: Church
Result for anchor: Anchor
Result for whistle: Whistle
Result for corn: Corn
Result for pyramid: Pyramid
Result for typewriter: Typewriter
Result for rope: Rope
Result for basket: Basket
Result for letter: Letter
Result for nose: Nose
Result for chimney: Tower
Result for horse: Horse
Result for key: Key
Result for fireman: Man
Result for cross: Cross
Result for crutches: Crutches
Result for bone: Skeleton
Result for cat: Cat
Result for kitchen: Kitchen
Result for dragon: Dragon
Result for saddle: Horse
Result for pie: Pie
Result for snail: Snail
Result for pirate: Pirate
Result for clock: Clock
Result for pumpkin: Pumpkin
Result for sock: Sock
Result for closet: Closet
Result for hair: Hair
Result for baby: Baby
Result for bat: Bat
Result for leaf: Leaf
Result for slippers: Shoes
Result for mountain: Mountain
Result for sun: Sun
Result for mustache: Mustache
Result for ear: Ear
Result for door: Door
Result for house: House
Result for nail: Screw
Result for binoculars: Binoculars
Result for celery: Onion
Result for vase: Vase
Result for pencil: Pencil
Result for elephant: Elephant
Result for hose: Container
Result for bench: Bench
Result for zebra: Zebra
Result for man: Man
Result for seal: Seal
Result for wig: Cup
Result for necklace: Heart
Result for desk: Desk
Result for bell: Doorbell
Result for star: Star
Result for hammer: Hammer
Result for pillow: Pillow
Result for spoon: Spoon
Result for zipper: Paint
Result for top: Compass
Result for flower: Flower
Result for kite: Kite
Result for suit: Jacket
Result for cake: Bread
Result for hat: Hat
Result for crown: Crown
Result for piano: Piano
Result for stethoscope: Syringe
Result for bride: Bride
Result for butterfly: Butterfly
Result for heart: Heart
Result for skis: Snow skis
Result for clown: Clown
Result for volcano: Volcano
Result for pear: Pear
Result for octopus: Octopus
Result for saw: Saw
Result for camera: Camera
Result for bed: Bed
Result for harp: Fiddle
Result for broom: Broom
Result for nurse: Woman
Result for eye: Iris
Result for cowboy: Man
Result for monkey: Monkey
Inference results saved to result/layer0_to_layer0_zero1_0_percentage_0.2_inf_20240920_184450.csv
Restored original weights after processing layer 0

Modifying layer: 1
Modified 5242880 elements in model.layers.1.self_attn.q_proj.weight
Modified 5242880 elements in model.layers.1.self_attn.k_proj.weight
Modified 5242880 elements in model.layers.1.self_attn.v_proj.weight
Modified 5242880 elements in model.layers.1.self_attn.o_proj.weight
Modified 14155776 elements in model.layers.1.mlp.gate_proj.weight
Modified 14155776 elements in model.layers.1.mlp.up_proj.weight
Modified 14155776 elements in model.layers.1.mlp.down_proj.weight
Modified 1024 elements in model.layers.1.input_layernorm.weight
Modified 1024 elements in model.layers.1.post_attention_layernorm.weight
Result for corn: Cree
Result for Umbrella: MIRILON
Result for waitress: Girl with plattain ttay rea
Result for tank: Tape
Result for dress: DIIOIITASOO: SAMO SEO MOSIT VO
Result for Hamburger: BIOGRIT MONIT WOMS HELD MION MAS WO M
Result for mirror: SURNEAR. WOO. OFF. TAIAN. SURNA
Result for tiger: CU
Result for guitar: Guentri
Result for whale: TEYDWOMEBYEWHOME
Result for candle: Parnt
Result for ghost: CRAMPESTENN EY AI
Result for dinosaur: BALLICENTOLOMS
Result for tree: Tree
Result for pen: BARETTOI
Result for scissors: MED OBIGN WAPONEEVA MED OBI, WAFON
Result for cane: Post
Result for comb: TYNOO LIGOOL BONG TEEEEEESSHAFA
Result for thermometer: MHOETVIA
Result for well: 
Result for grapes: PEFFOYF RETEE
Result for strawberries: FORTOLMEGAPOLION SOLI VNOIREYOIGEN
Result for bread: PIASK-RISE TRIFION
Result for football: AUDOLION
Result for pig: DART AHOL.
Result for apple: Tree
Result for hand: LONT OFTU
R.OIG VORI. BO.T H
Result for towel: Clomeo:n:n:o
Result for lion: DUAYAYOEE
Result for glass: PATRELLO MELLO WEVE AI CO EI MI RO
