Image File,Inference Result
img1.png,Corn and peppers
img2.png,Umbrella
img3.png,Waitress
img4.png,Tank
img5.png,Shirt dress
img6.png,Hamburger
img7.png,Shower
img8.png,Tiger
img9.png,Guitar
img10.png,Whale
img11.png,Cupola
img12.png,Ghost
img13.png,Dinosaur
img14.png,Tree
img15.png,Pen
img16.png,Scissors
img17.png,Umbrella
img18.png,Brush
img19.png,Thermometer
img20.png,Pump
img21.png,Grapes
img22.png,Kiwi
img23.png,Bread
img24.png,Football
img25.png,Pig
img26.png,Apple
img27.png,Hand
img28.png,Towel
img29.png,Lion
img30.png,Glass
img31.png,Fork
img32.png,Flower
img33.png,Garage
img34.png,Can
img35.png,Table
img36.png,Waterfall
img37.png,Emperor
img38.png,Boot
img39.png,Feet
img40.png,Chair
img41.png,Banana
img42.png,Ring
img43.png,Dice
img44.png,Calendar
img45.png,Knife
img46.png,Vest
img47.png,Turkey
img48.png,Broom
img49.png,Balloon
img50.png,Duck
img51.png,Hearth
img52.png,Pineapples
img53.png,Fan
img54.png,Window
img55.png,Lamp
img56.png,Drum
img57.png,Skull
img58.png,Bridge
img59.png,Man
img60.png,Puppy
img61.png,Boat
img62.png,Cheerleaders
img63.png,Snake
img64.png,Ambulance
img65.png,Carrot
img66.png,Sailor
img67.png,Book
img68.png,Bus
img69.png,Map
img70.png,Squirrel
img71.png,Microscope
img72.png,Bowl
img73.png,Van
img74.png,Plane
img75.png,Bottle
img76.png,Scarf
img77.png,Planet
img78.png,Frog
img79.png,Cow
img80.png,Drawing of a man
img81.png,Glove
img82.png,Owl
img83.png,Pipesmoking
img84.png,Cash register
img85.png,Tent
img86.png,Flashlight
img87.png,Camel
img88.png,Goat
img89.png,Fish
img90.png,Catapult
img91.png,Shoe
img92.png,Slice of cake
img93.png,Spider
img94.png,Belt
img95.png,Toilet
img96.png,Wagon
img97.png,Ruler
img98.png,Cartoon tractor
img99.png,Queen
img100.png,Train
img101.png,Church
img102.png,Anchor
img103.png,Whistle
img104.png,Corn ear
img105.png,Pyramid
img106.png,Typewriter
img107.png,Kite
img108.png,Shopping bag
img109.png,Letter
img110.png,Lips and nose
img111.png,Stack of books
img112.png,Horse
img113.png,Key
img114.png,Sketch
img115.png,Cross
img116.png,Crutch
img117.png,Rib cage
img118.png,Cat
img119.png,Kitchen
img120.png,Dragon
img121.png,Saddle
img122.png,Pie
img123.png,Squirrel
img124.png,Pirate
img125.png,Clock
img126.png,Pumpkin
img127.png,Sock
img128.png,Wardrobe
img129.png,Hair
img130.png,Baby
img131.png,Bat
img132.png,Leaf
img133.png,Shoes
img134.png,Mountain
img135.png,Sun
img136.png,Mustache
img137.png,Eardrum
img138.png,Door
img139.png,House
img140.png,Nail
img141.png,Spectacle
img142.png,Bulb
img143.png,Vase
img144.png,Pencil
img145.png,Elephant
img146.png,Spill
img147.png,Bench
img148.png,Zebra
img149.png,The man standing
img150.png,Seal
img151.png,Bowl
img152.png,Necklace
img153.png,Desk
img154.png,Bell
img155.png,Star
img156.png,Hammer
img157.png,Pillow
img158.png,Spoon
img159.png,Torch
img160.png,Balloon
img161.png,Flower
img162.png,Fish
img163.png,Suit
img164.png,Cake
img165.png,Hat
img166.png,Crown
img167.png,Piano
img168.png,Stethoscope
img169.png,Bride
img170.png,Butterfly
img171.png,Heart
img172.png,Skis
img173.png,Clown
img174.png,Volcano
img175.png,Pear
img176.png,Octopus
img177.png,Hacksaw
img178.png,Camera
img179.png,Bed
img180.png,Harp
img181.png,Broom
img182.png,Nurse
img183.png,Eye
img184.png,Cowboy
img185.png,Monkey
