Image File,Inference Result,Top 10 Words,Top 10 Probabilities
img1.png,1.5;,", ;, <0x0A>, [, (, 5, The, ., A, E","0.0997069925069809, 0.04189005494117737, 0.039660703390836716, 0.03919864445924759, 0.03029036335647106, 0.027152106165885925, 0.026626935228705406, 0.02250988595187664, 0.022334711626172066, 0.014196806587278843"
img2.png,1.5;,", ;, <0x0A>, [, (, 5, The, ., A, E","0.09752694517374039, 0.05179617181420326, 0.03573828563094139, 0.03463873267173767, 0.033442117273807526, 0.0271882526576519, 0.0271882526576519, 0.024276377633213997, 0.021340304985642433, 0.01340668834745884"
img3.png,1.5;,", ;, <0x0A>, 5, (, [, The, ., A, 1","0.0984155535697937, 0.04759065434336662, 0.04216298460960388, 0.03960845619440079, 0.03361526131629944, 0.033353663980960846, 0.027010617777705193, 0.023467233404517174, 0.020230019465088844, 0.013423560187220573"
img4.png,1.5;,", ;, <0x0A>, (, [, 5, The, ., A, E","0.1008588895201683, 0.04546066373586655, 0.04304128885269165, 0.03485590219497681, 0.03352058678865433, 0.03100147843360901, 0.02844855561852455, 0.0221557579934597, 0.02122391387820244, 0.013438146561384201"
img5.png,1.5;,", ;, <0x0A>, [, 5, (, The, A, ., E","0.10813435167074203, 0.046146076172590256, 0.03622047230601311, 0.03483289107680321, 0.031102266162633896, 0.030620070174336433, 0.02956228516995907, 0.02479689009487629, 0.022489802911877632, 0.013169527985155582"
img6.png,1.5;,", <0x0A>, ;, (, [, 5, The, ., A, E","0.10927176475524902, 0.04229290410876274, 0.04180017486214638, 0.031184829771518707, 0.030462434515357018, 0.02952520363032818, 0.027199894189834595, 0.02290460653603077, 0.020292356610298157, 0.013360138051211834"
img7.png,1.5;,", ;, <0x0A>, [, (, The, A, 5, ., E","0.0958048552274704, 0.048173706978559494, 0.04185404255986214, 0.039318233728408813, 0.032342296093702316, 0.02820945344865322, 0.02375474013388157, 0.02375474013388157, 0.021127905696630478, 0.01498192735016346"
img8.png,1.5;,", ;, <0x0A>, [, (, 5, The, ., A, E","0.09962182492017746, 0.052908752113580704, 0.04040839895606041, 0.03483420982956886, 0.030861401930451393, 0.028099626302719116, 0.026294244453310966, 0.023754868656396866, 0.021128017455339432, 0.013067538850009441"
img9.png,1.5;,", <0x0A>, ;, 5, [, (, The, ., A, E","0.1006631925702095, 0.0405130460858345, 0.036315660923719406, 0.036315660923719406, 0.03411540389060974, 0.03155159205198288, 0.0266730934381485, 0.02390960603952408, 0.022026561200618744, 0.013464567251503468"
img10.png,1.5;,", [, ;, <0x0A>, 5, The, (, A, ., E","0.11447460204362869, 0.03940712660551071, 0.0373099185526371, 0.03588059917092323, 0.030570650473237038, 0.029630092903971672, 0.029630092903971672, 0.024089092388749123, 0.022365964949131012, 0.014328177087008953"
img11.png,1.5;,", <0x0A>, ;, [, The, (, 5, A, ., E","0.09907196462154388, 0.04146097972989082, 0.037603478878736496, 0.036304451525211334, 0.030097445473074913, 0.030097445473074913, 0.02656090073287487, 0.02380903996527195, 0.02117619849741459, 0.014440912753343582"
