Image File,Inference Result,Top 10 Words,Top 10 Probabilities
img1.png,1 and many.,", [, D, A, P, F, C, sp, Cl, S","0.06939465552568436, 0.051569726318120956, 0.0338202528655529, 0.025133078917860985, 0.017683329060673714, 0.015851235017180443, 0.013879803940653801, 0.01371809933334589, 0.013664617203176022, 0.013296037912368774"
img2.png,"U personal, 1","U, Um, um, M, A, D, , F, the, H","0.35335296392440796, 0.07823014259338379, 0.06903785467147827, 0.042201995849609375, 0.02789381332695484, 0.021723724901676178, 0.020891502499580383, 0.017592407763004303, 0.01380843948572874, 0.00979165080934763"
img3.png,b,"b, un, d, the, ch, image, one, wait, st, a","0.053613778203725815, 0.050760503858327866, 0.034078989177942276, 0.030548207461833954, 0.02397756464779377, 0.021831821650266647, 0.021831821650266647, 0.018820207566022873, 0.016870323568582535, 0.015602498315274715"
img4.png,Tank,"T, In, Ch, H, P, Machine, Car, R, Gr, M","0.3424323797225952, 0.045269645750522614, 0.03752985596656799, 0.025593137368559837, 0.024231093004345894, 0.0197768434882164, 0.0197768434882164, 0.017866889014840126, 0.014928344637155533, 0.013806462287902832"
img5.png,Dress,"D, to, M, dress, S, H, , C, W, a","0.27628856897354126, 0.04545661434531212, 0.04440361261367798, 0.03739158809185028, 0.0235825814306736, 0.018081391230225563, 0.016081921756267548, 0.01464275736361742, 0.01343694981187582, 0.010383270680904388"
img6.png,"Hamb 
c'","Hamb, B, K, Bur, bur, M, P, of, Food, L","0.09222810715436935, 0.077663853764534, 0.0350058414041996, 0.02902085892856121, 0.025610819458961487, 0.02443801611661911, 0.02405913919210434, 0.01933206059038639, 0.01816079020500183, 0.015655579045414925"
img7.png,Mirror,"Mir, H, mirror, L, or, S, M, self, A, Or","0.11156202852725983, 0.07727675884962082, 0.04760883003473282, 0.02568303793668747, 0.02179691009223461, 0.020636901259422302, 0.013640157878398895, 0.012322856113314629, 0.011758551001548767, 0.008602740243077278"
img8.png,T.,"T, Cat, t, Z, cat, , M, Sc, Ch, Black","0.6080499291419983, 0.1315000206232071, 0.04404699057340622, 0.023576652631163597, 0.01452515460550785, 0.013968706130981445, 0.01071017887443304, 0.008741391822695732, 0.006395339500159025, 0.006198575254529715"
img9.png,Gu guitar,"Gu, guitar, U, D, , gu, A, Gr, to, I","0.7368897795677185, 0.17366458475589752, 0.03263061121106148, 0.006036056205630302, 0.004926485009491444, 0.0016501659993082285, 0.001400477602146566, 0.0013573893811553717, 0.0013259454863145947, 0.0011078689713031054"
img10.png,M.c.,"M, A, D, S, Le, fish, No, m, Sc, wh","0.041701193898916245, 0.023946981877088547, 0.021465934813022614, 0.01821790263056755, 0.017451681196689606, 0.015461333096027374, 0.014581425115466118, 0.013485615141689777, 0.012767923064529896, 0.012423529289662838"
