Image File,Inference Result,Top 10 Words,Top 10 Probabilities
img1.png,,"</s>, ., t, e, ,, ;, 0, o, c, a","0.028392579406499863, 0.02390895038843155, 0.01943783648312092, 0.019362056627869606, 0.014787526801228523, 0.014672448858618736, 0.01165229082107544, 0.011606862768530846, 0.010005741380155087, 0.009622427634894848"
img2.png,"....,","., </s>, t, ;, e, ,, 0, o, c, !","0.02439296245574951, 0.022736741229891777, 0.020381083711981773, 0.019600296393036842, 0.018702734261751175, 0.01562671922147274, 0.013314131647348404, 0.01275415625423193, 0.01099477056413889, 0.010866677388548851"
img3.png,,"</s>, ., t, e, ,, ;, 0, o, a, c","0.02319103479385376, 0.022477522492408752, 0.02070726454257965, 0.0180611964315176, 0.014512579888105392, 0.01390219945460558, 0.01231666561216116, 0.011040588840842247, 0.009935454465448856, 0.009705299511551857"
img4.png,,"</s>, t, ., e, ;, ,, 0, o, c, a","0.02530006133019924, 0.020488614216446877, 0.019703706726431847, 0.01665712520480156, 0.01659218594431877, 0.014192047528922558, 0.011765621602535248, 0.011096037924289703, 0.009946424514055252, 0.009234941564500332"
img5.png,,"</s>, ., e, t, ,, ;, o, 0, c, a","0.037870388478040695, 0.023514261469244957, 0.021078046411275864, 0.01795871928334236, 0.015848513692617416, 0.015541976317763329, 0.01150478795170784, 0.010640188120305538, 0.01019267737865448, 0.009879081510007381"
img6.png,t....,"t, ., </s>, e, ;, 0, ,, o, !, a","0.021344507113099098, 0.0209316685795784, 0.020768776535987854, 0.017150793224573135, 0.01662311889231205, 0.013201436959207058, 0.01274538692086935, 0.011335982009768486, 0.010201280005276203, 0.010121893137693405"
img7.png,,"</s>, ., e, t, ,, ;, 0, o, c, :","0.027124537155032158, 0.022312035784125328, 0.0199224054813385, 0.019309457391500473, 0.017174188047647476, 0.015821602195501328, 0.012418517842888832, 0.010747331194579601, 0.009747406467795372, 0.009447509422898293"
img8.png,,"</s>, ., e, t, ,, ;, o, 0, c, a","0.02982933260500431, 0.02611943893134594, 0.02123495377600193, 0.019639121368527412, 0.01726389490067959, 0.016409099102020264, 0.01258129347115755, 0.01238623820245266, 0.01088820118457079, 0.010389593429863453"
img9.png,t....,"t, ., </s>, e, ;, ,, 0, o, a, c","0.023148035630583763, 0.022700313478708267, 0.020668869838118553, 0.01747305318713188, 0.016607902944087982, 0.014656423591077328, 0.012684077024459839, 0.011639563366770744, 0.010231832042336464, 0.010152207687497139"
img10.png,,"</s>, ., ,, ;, t, 0, e, :, !, a","0.03047497570514679, 0.02807486429810524, 0.02763960137963295, 0.025264643132686615, 0.019599415361881256, 0.01669890806078911, 0.016504360362887383, 0.012555855326354504, 0.012217183597385883, 0.011037304997444153"
img11.png,.....,"., </s>, ,, t, ;, e, 0, :, !, O","0.02818136103451252, 0.02516312338411808, 0.020617922767996788, 0.01959705911576748, 0.01862674206495285, 0.017498206347227097, 0.014393631368875504, 0.01129769068211317, 0.010738302953541279, 0.010696438141167164"
img12.png,,"</s>, ,, ., ;, e, t, 0, :, o, a","0.027695251628756523, 0.025216814130544662, 0.021908748894929886, 0.02165350131690502, 0.019334400072693825, 0.018162989988923073, 0.012532086111605167, 0.012434560805559158, 0.01163564808666706, 0.011545098386704922"
img13.png,,"</s>, ., e, ,, ;, t, o, :, c, a","0.03720126301050186, 0.03000904805958271, 0.022127287462353706, 0.02169930562376976, 0.020949693396687508, 0.018059764057397842, 0.012906731106340885, 0.011843881569802761, 0.011614801362156868, 0.011479483917355537"
img14.png,,"</s>, ., ;, t, ,, e, 0, :, o, !","0.027153242379426956, 0.024340009316802025, 0.019943490624427795, 0.019329892471432686, 0.018158752471208572, 0.01760006695985794, 0.016598444432020187, 0.011013842187821865, 0.01075870543718338, 0.01075870543718338"
img15.png,t....,"t, e, ., </s>, ;, ,, o, 0, c, a","0.022652359679341316, 0.020305443555116653, 0.020226281136274338, 0.019300051033496857, 0.013793124817311764, 0.013421079143881798, 0.012030577287077904, 0.01117001287639141, 0.011126465164124966, 0.010290298610925674"
