Image File,Inference Result,Top 10 Words,Top 10 Probabilities
img1.png,Picture of a corn on,"Picture, </s>, The, "", Pictures, Corn, A, Image, This, P","0.19968730211257935, 0.043185409158468246, 0.03416246920824051, 0.022757109254598618, 0.018429270014166832, 0.015763388946652412, 0.014465300366282463, 0.012666239403188229, 0.010257433168590069, 0.010019821114838123"
img2.png,Picture of a person holding,"Picture, </s>, The, Um, "", A, This, Name, Sun, In","0.14382179081439972, 0.08587991446256638, 0.06482556462287903, 0.04742739722132683, 0.026191893965005875, 0.022403115406632423, 0.01412946730852127, 0.011090345680713654, 0.00750410370528698, 0.0069945938885211945"
img3.png,Picture of a person.,"Picture, </s>, The, "", Woman, Wait, A, This, Image, Name","0.14427338540554047, 0.1106182411313057, 0.035355713218450546, 0.027968669310212135, 0.02775101736187935, 0.019678419455885887, 0.017502347007393837, 0.012508363462984562, 0.012314439751207829, 0.012029175646603107"
img4.png,Picture of a tank.,"Picture, The, </s>, T, This, "", A, Name, Image, Military","0.11571503430604935, 0.060977544635534286, 0.05015875771641731, 0.02925734408199787, 0.021742211654782295, 0.021573012694716454, 0.020746564492583275, 0.013084693811833858, 0.0129828667268157, 0.011191931553184986"
img5.png,Picture of a person.,"Picture, </s>, The, "", A, This, D, Image, Name, S","0.0926794558763504, 0.056212931871414185, 0.05448343977332115, 0.03517715260386467, 0.022185951471328735, 0.02150336280465126, 0.01988735981285572, 0.01560976728796959, 0.01169117633253336, 0.011509919539093971"
img6.png,Picture of a sandwich,"Picture, </s>, The, "", A, Image, Sand, B, This, In","0.11953891813755035, 0.11768563836812973, 0.036457307636737823, 0.029294272884726524, 0.021769654005765915, 0.014388862065970898, 0.014388862065970898, 0.013837633654475212, 0.013837633654475212, 0.010609681718051434"
img7.png,Picture of a mirror,"Picture, The, </s>, "", A, Mir, This, Pictures, Image, ","0.12854021787643433, 0.04512186348438263, 0.04013221338391304, 0.030293382704257965, 0.020497528836131096, 0.0175324659794569, 0.014198222197592258, 0.011956102214753628, 0.010717381723225117, 0.009458055719733238"
img8.png,Picture of a cat.,"Picture, </s>, The, "", Cat, A, This, T, Name, One","0.1421104371547699, 0.06608749181032181, 0.04200776293873787, 0.027765436097979546, 0.02356421947479248, 0.018067313358187675, 0.01645047776401043, 0.014861767180263996, 0.014517495408654213, 0.01078848633915186"
img9.png,,"</s>, Picture, Gu, The, A, "", Pictures, This, Ph, ","0.1809588223695755, 0.08220425248146057, 0.06657103449106216, 0.03822852671146393, 0.020303016528487206, 0.014970504678785801, 0.014396995306015015, 0.010782850906252861, 0.010129550471901894, 0.008869730867445469"
img10.png,Picture of a fish.,"Picture, </s>, The, A, "", This, Pictures, One, Image, Wh","0.1285230815410614, 0.06412255018949509, 0.05233529582619667, 0.0228635985404253, 0.017530128359794617, 0.01672736555337906, 0.014532987028360367, 0.013232434168457985, 0.012238002382218838, 0.010970073752105236"
img11.png,,"</s>, Picture, The, A, "", This, Image, C, , S","0.11333214491605759, 0.07260330021381378, 0.037372976541519165, 0.02249145321547985, 0.02214275486767292, 0.013017053715884686, 0.012518377974629402, 0.011047430336475372, 0.009598173201084137, 0.008807778358459473"
img12.png,The image is a black,"The, Picture, A, "", Ghost, This, </s>, C, One, Name","0.07283489406108856, 0.05806904286146164, 0.03720042482018471, 0.03662368655204773, 0.03467460721731186, 0.030362101271748543, 0.02919895015656948, 0.012267397716641426, 0.01179744116961956, 0.010996424593031406"
img13.png,Picture of a dinosa,"Picture, The, </s>, This, "", A, Din, Image, Lar, C","0.1190275177359581, 0.05578707531094551, 0.05000721290707588, 0.0239937212318182, 0.02219056524336338, 0.01943070814013481, 0.01839662529528141, 0.010985126718878746, 0.01015958096832037, 0.009694339707493782"
img14.png,Picture of a tree.,"Picture, Tree, The, </s>, A, "", Tre, This, Image, C","0.12707632780075073, 0.07890349626541138, 0.05595095083117485, 0.05380750447511673, 0.020423024892807007, 0.019185656681656837, 0.01830708235502243, 0.017743831500411034, 0.012195145711302757, 0.008060498163104057"
